file,n,m,ratio1,ratio2,density,min,max,mean,std,var,GILS_cost,GILS_time,GRASP_cost,GRASP_time,DBMEA_cost,DBMEA_time,Min_val,Min_col
att48.tsp,48,1176,0.0408163265306122,24.5,1.0425531914893618,0.0,2662.0,1017.5598958333334,627.5984137822,393879.7689819336,222779.0,6.509765625,311086.0,0.0254364013671875,204827.0,5.225767135620117,204827.0,DBMEA_cost
berlin52.tsp,52,1378,0.0377358490566037,26.5,1.03921568627451,0.0,1716.0,564.1886094674556,345.72205216830304,119523.73735546286,149458.0,6.318056583404541,191450.0,0.0305445194244384,142564.0,5.499347686767578,142564.0,DBMEA_cost
brazil58.tsp,58,1711,0.0338983050847457,29.5,1.0350877192982455,0.0,8700.0,2094.9143876337694,1426.139588485403,2033874.1258453147,548290.0,8.969650983810425,712437.0,0.0430779457092285,529189.0,9.10741901397705,529189.0,DBMEA_cost
burma14.tsp,14,105,0.1333333333333333,7.5,1.1538461538461535,1.0,1261.0,442.6122448979592,272.51147261575125,74262.50270720533,16164.0,0.3084492683410644,18393.0,0.0010004043579101,16985.0,0.2225606441497802,16164.0,GILS_cost
dantzig42.tsp,42,903,0.0465116279069767,21.5,1.048780487804878,0.0,192.0,72.29591836734694,43.48158529750573,1890.6482599842657,12121.0,3.398385524749756,14005.0,0.0160310268402099,11945.0,3.343547105789185,11945.0,DBMEA_cost
eil101.tsp,101,5151,0.0196078431372549,51.0,1.02,0.0,92.0,33.58023723164396,16.613750975647413,276.01672148082537,30047.0,32.83341383934021,45502.0,0.222280740737915,29990.0,72.6964385509491,29990.0,DBMEA_cost
eil51.tsp,51,1326,0.0384615384615384,26.0,1.04,0.0,86.0,31.76086120722799,15.586857204726323,242.95011752052892,10568.0,3.625241994857788,12385.0,0.0295710563659667,10286.0,6.586362361907959,10286.0,DBMEA_cost
eil76.tsp,76,2926,0.0259740259740259,38.5,1.0266666666666666,0.0,85.0,32.759349030470915,16.107539265290864,259.4528211828869,20042.0,15.74213719367981,26419.0,0.0956449508666992,18804.0,24.958251953125,18804.0,DBMEA_cost
gr48.tsp,48,1176,0.0408163265306122,24.5,1.0425531914893618,0.0,1083.0,428.76649305555554,219.69222905972143,48264.67550922912,107226.0,4.774009466171265,152779.0,0.0240192413330078,100626.0,3.3799142837524414,100626.0,DBMEA_cost
gr96.tsp,96,4656,0.0206185567010309,48.5,1.0210526315789474,1.0,9850.0,3821.365234375,1984.4914186273488,3938206.1906055873,2233427.0,30.8424711227417,3985381.0,0.1964914798736572,2255353.0,40.24398994445801,2233427.0,GILS_cost
